,mean,var,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30,trial_31,trial_32,trial_33,trial_34,trial_35,trial_36,trial_37,trial_38,trial_39,trial_40,trial_41,trial_42,trial_43,trial_44,trial_45,trial_46,trial_47,trial_48,trial_49,trial_50,trial_51,trial_52,trial_53,trial_54,trial_55,trial_56,trial_57,trial_58,trial_59,trial_60,trial_61,trial_62,trial_63,trial_64,trial_65,trial_66,trial_67,trial_68,trial_69,trial_70,trial_71,trial_72,trial_73,trial_74,trial_75,trial_76,trial_77,trial_78,trial_79,trial_80,trial_81,trial_82,trial_83,trial_84,trial_85,trial_86,trial_87,trial_88,trial_89,trial_90,trial_91,trial_92,trial_93,trial_94,trial_95,trial_96,trial_97,trial_98,trial_99,trial_100
R2,0.3678518651500024,0.008663134792526074,0.359368014153559,0.3936883161546366,0.41094052154271776,0.4408297938031498,0.42723369585645954,0.4514609893871182,0.0666156401604161,0.4087433729804989,0.3851624467630812,0.44188079100939426,0.34615007524749974,0.24309892991274618,0.3838928156844448,0.31328905610736135,0.36503242158553084,0.42180064708081855,0.3077131626106586,0.36122048329922574,0.34323328299415434,0.2579332251177038,0.374927022385799,0.36593334479825923,0.23325136810418046,0.321618554984213,0.2634934162473286,0.345900877578588,0.2823712010019618,0.375986280151569,0.4878099458743781,0.12654969448280406,0.393869823288449,0.33718593324665236,0.33323161805872137,0.307741891051049,-0.004614594498579372,0.46259469061352354,0.3490064980155211,0.451156485003932,0.3683365973234458,0.3225884644527054,0.2765447785305908,0.23509993193060352,0.392471119106108,0.335736183046373,0.4741709398931677,0.3160144494679208,0.436508545101271,0.4574153498385548,0.42479563557709477,0.41622669466422757,0.08275756052351646,0.4794635508697669,0.4286325913537026,0.306683787944816,0.2712218441875447,0.35813555835909183,0.4066783542005671,0.3511178326146792,0.37217711811756393,0.36458459356521766,0.33931782081500905,0.3940258683189345,0.27418259680264545,0.3970869951685899,0.48211438110856586,0.48704775229630515,0.4351077179391738,0.41986788020241006,0.45897476099846035,0.44054855339649945,0.4754609789067037,0.40592989377048105,0.14597345454603694,0.41063112991126727,0.3865513299768941,0.4357658163745719,0.46245100067289346,0.4410849125973454,0.4415591822159797,0.39239998425338807,0.3602650997403808,0.3384774925581745,0.37619703021587947,0.41891490334393766,0.34018208135911465,0.4427838795668949,0.4241957774356092,0.5630447405730259,0.4063267833297377,0.46102487773819345,0.347302042791669,0.40791098001961135,0.34756933790458333,0.3006746262144543,0.21704659605795096,0.45445068687204493,0.40812647960333515,0.39209665986740294,0.4055015798368915,0.43234963719113517
MAE,0.24355026881383218,0.0003649686955505183,0.2620400306487637,0.22439440661236382,0.25155247549912735,0.2238464152947275,0.2212337935012365,0.23054667587374564,0.2795897869481456,0.23286953529538196,0.2664599984589819,0.21007680189680009,0.2590163810117091,0.2531928195293819,0.2137252264886546,0.2636628828131274,0.26501951141280006,0.24431180215058196,0.2596745762939999,0.2670214979263639,0.26816313201850916,0.2674578000365819,0.23259606637680022,0.24723035392712742,0.2775974910205091,0.24274526227050916,0.2630343130795273,0.24982783144898182,0.25493187889505475,0.25904480327560003,0.23793636968170917,0.25628055926836363,0.2541177057565091,0.22400436637963636,0.23797482037592746,0.2610360192030183,0.2327704324296728,0.22759592096029108,0.24062127514650927,0.24034686332196373,0.22750880505312748,0.25441907526890906,0.27777358839174565,0.2877230216586547,0.25005842443825466,0.2559801341226911,0.21647940852494563,0.28512048810610924,0.22187446323763635,0.21428597147185474,0.23245184991865447,0.2174018190259637,0.2627359003179272,0.22591280185538218,0.2417631861013455,0.268439994677491,0.25628622115120014,0.24418095563109113,0.2505481402770547,0.24884349462003647,0.2596106715972728,0.2536882497530183,0.2761970325605455,0.25449518769927293,0.25158269669916367,0.2541870277519638,0.2364262664322547,0.22384489035923663,0.20921362040578215,0.24918557520123635,0.2216861671448728,0.24681284360890926,0.21532745621541838,0.25738556124196377,0.25521932796890917,0.22761806021407283,0.2640770445670909,0.22196134382847282,0.2291650961157457,0.222735326416982,0.24889536629210926,0.2540178176947637,0.2168524701624365,0.24052597073840012,0.2142447793270908,0.22525474046850932,0.22158843031200012,0.20864952943345472,0.24786429130887278,0.21344895524476373,0.2402319726849455,0.22289984186098202,0.2351721743486909,0.2249859027346547,0.24455650851305472,0.2710928974193455,0.24983443255334567,0.23311797425745473,0.24727730082320007,0.2577553128601819,0.23957897103178188,0.22342616915221833
MSE,0.09113773692528371,0.00017983760739938106,0.09815718914604007,0.07858014852442262,0.0905401950301546,0.08172827459415685,0.07632907659175672,0.0761683191865654,0.13803041172445563,0.08654622582649299,0.09845174794546148,0.06339520267424002,0.10482001661937604,0.09827425269107412,0.0716034105117565,0.11544241353770553,0.10361364465431282,0.09013556460474635,0.09539073014182768,0.10878783560247082,0.0960848234284863,0.10093177557827464,0.09023935530497915,0.09729026478238605,0.12062862900719934,0.1018080796363092,0.10945230969362282,0.10064158296503264,0.09898011783585926,0.09832322010518976,0.08324306823612992,0.10461306937382021,0.09316153147964237,0.08698062801264424,0.0955861386111111,0.11491918568343794,0.08631478528927404,0.07636216213339085,0.089528362656282,0.0913673646357054,0.0791337810634297,0.0962732347753466,0.1255328600763048,0.11322750726596688,0.09221790474273804,0.0987023401462903,0.06937828810425706,0.11328810953370093,0.07901962421550643,0.07137533146565594,0.08426159435584828,0.07463159494347693,0.1065393204097755,0.08238693650039415,0.0887114137762556,0.10101661337297692,0.09326481864264076,0.09594117872994294,0.09112792741113337,0.09439778781761843,0.09596383190408797,0.09764708040420046,0.1074629801344645,0.09978149919546911,0.09105624167788182,0.09706645413793652,0.07758799867935502,0.0722684227452471,0.07411426026581222,0.09244933472071465,0.07751545240618234,0.08594306522023351,0.07974768198930259,0.09375848883910559,0.10081615946564546,0.0803838257395152,0.10313050703100211,0.07329326582285604,0.08103918823140258,0.07934950478972469,0.08984460463211598,0.09798349605241147,0.08315495899202498,0.0897709924088652,0.07402169067148306,0.0759602115861668,0.086767170103488,0.07700344380494513,0.08738282559608879,0.0678949461573757,0.08971427316183933,0.08088670058389055,0.0881919729560727,0.0724986825902898,0.08766434821673161,0.10793156781684322,0.10137275767016334,0.08477181022336074,0.09168557443480242,0.10193883021665587,0.07919214101973229,0.07488616882783414
RMSE,0.3010964839510464,0.0004834790682837786,0.313300477411127,0.28032150920759297,0.3008989781141747,0.2858815744222717,0.276277173490241,0.275986085132141,0.37152444297038606,0.2941873991633445,0.3137702151980992,0.2517840397528009,0.32375919542057185,0.313487244861851,0.26758813596973335,0.33976817616973126,0.32189073402990775,0.30022585598969714,0.30885389772808064,0.32983001016049285,0.30997552069233836,0.31769761657632034,0.30039866062447607,0.3119138739818831,0.3473163241300347,0.31907378400036124,0.33083577450696416,0.31724057584904336,0.3146110580317533,0.31356533626214134,0.2885187485002143,0.3234394369488981,0.3052237400328526,0.29492478365278874,0.30917008039445065,0.3389973240063083,0.2937937802086253,0.27633704444643475,0.2992129052301755,0.30227035024246984,0.2813072716149188,0.31027928512123815,0.35430616714404617,0.33649295277311064,0.30367401064750016,0.31416928580988035,0.26339758560825316,0.3365829905590907,0.2811042941961336,0.2671616204952649,0.2902784772521867,0.27318783820565096,0.32640361580377064,0.2870312465575728,0.29784461347530794,0.3178311082524442,0.30539289225952976,0.30974373073549516,0.3018740257311539,0.3072422298734639,0.3097802961843893,0.3124853283023068,0.32781546658823846,0.315882096984728,0.3017552678544019,0.3115548974706328,0.27854622359557313,0.26882786824517857,0.2722393437139684,0.30405482190012156,0.2784159700990271,0.2931604769068189,0.28239632077862237,0.3062000797503253,0.31751560507421595,0.2835204150312905,0.3211393887878005,0.2707272905025573,0.28467382779490386,0.2816904414241362,0.2997408958285739,0.31302315577671164,0.288366015667632,0.2996180775735423,0.27206927550071336,0.2756088017211475,0.29456267601902314,0.2774949437466296,0.2956058619109046,0.26056658680148476,0.2995234100397485,0.2844058729771426,0.2969713335594409,0.26925579397719523,0.29608165802145126,0.3285294017540032,0.3183908881707568,0.2911559895028106,0.3027962589511344,0.319278609080934,0.2814109824078163,0.27365337349982394
