,mean,var,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30,trial_31,trial_32,trial_33,trial_34,trial_35,trial_36,trial_37,trial_38,trial_39,trial_40,trial_41,trial_42,trial_43,trial_44,trial_45,trial_46,trial_47,trial_48,trial_49,trial_50,trial_51,trial_52,trial_53,trial_54,trial_55,trial_56,trial_57,trial_58,trial_59,trial_60,trial_61,trial_62,trial_63,trial_64,trial_65,trial_66,trial_67,trial_68,trial_69,trial_70,trial_71,trial_72,trial_73,trial_74,trial_75,trial_76,trial_77,trial_78,trial_79,trial_80,trial_81,trial_82,trial_83,trial_84,trial_85,trial_86,trial_87,trial_88,trial_89,trial_90,trial_91,trial_92,trial_93,trial_94,trial_95,trial_96,trial_97,trial_98,trial_99,trial_100
Accuracy,0.655818182,0.003801686,0.618181818,0.727272727,0.745454545,0.6,0.690909091,0.781818182,0.636363636,0.581818182,0.654545455,0.727272727,0.6,0.672727273,0.672727273,0.636363636,0.672727273,0.654545455,0.654545455,0.654545455,0.745454545,0.727272727,0.690909091,0.709090909,0.545454545,0.636363636,0.581818182,0.545454545,0.672727273,0.727272727,0.690909091,0.6,0.654545455,0.672727273,0.545454545,0.618181818,0.690909091,0.763636364,0.636363636,0.672727273,0.581818182,0.690909091,0.527272727,0.581818182,0.636363636,0.454545455,0.636363636,0.636363636,0.581818182,0.690909091,0.690909091,0.636363636,0.672727273,0.618181818,0.745454545,0.618181818,0.636363636,0.618181818,0.654545455,0.618181818,0.690909091,0.672727273,0.618181818,0.654545455,0.727272727,0.563636364,0.672727273,0.709090909,0.618181818,0.654545455,0.672727273,0.709090909,0.709090909,0.618181818,0.6,0.763636364,0.545454545,0.818181818,0.672727273,0.654545455,0.709090909,0.527272727,0.672727273,0.636363636,0.727272727,0.672727273,0.618181818,0.745454545,0.654545455,0.745454545,0.636363636,0.581818182,0.654545455,0.745454545,0.636363636,0.6,0.709090909,0.690909091,0.636363636,0.690909091,0.672727273,0.636363636
Recall,0.61286359,0.004926129,0.613301282,0.646789387,0.697205978,0.552910053,0.639097744,0.741991342,0.571659919,0.502010582,0.652361673,0.714646465,0.4979864,0.616071429,0.575980392,0.596983409,0.595670996,0.6,0.581587302,0.627192982,0.727130326,0.711111111,0.674145299,0.653703704,0.504545455,0.596176822,0.522727273,0.515151515,0.597222222,0.709343434,0.636243386,0.601751505,0.594930876,0.581349206,0.472804233,0.611188811,0.696171802,0.696581197,0.573484848,0.654704944,0.537907268,0.570564516,0.489087302,0.533198381,0.578002699,0.43469697,0.592592593,0.604978355,0.621283644,0.638888889,0.598290598,0.593645485,0.558712121,0.58205715,0.703221691,0.574955908,0.576719577,0.526315789,0.595898129,0.552380952,0.662213225,0.648953301,0.546666667,0.617452723,0.76010101,0.556277056,0.663647343,0.683990442,0.546855922,0.641975309,0.661904762,0.670634921,0.686809617,0.619281046,0.485714286,0.708994709,0.49657444,0.807175926,0.637248677,0.6,0.678969179,0.49044289,0.610275689,0.5774923,0.622222222,0.580246914,0.586111111,0.745614035,0.605588044,0.749158249,0.576867816,0.547138047,0.633241758,0.698717949,0.60989011,0.581896552,0.684811828,0.657489879,0.586063218,0.652046784,0.662021553,0.630268199
Precision,0.688679735,0.006985192,0.747648903,0.796969697,0.758812261,0.578255985,0.711111111,0.829153605,0.667460317,0.601126472,0.72962963,0.733004926,0.714820009,0.684491088,0.742793792,0.677238637,0.757936508,0.687027915,0.768627451,0.703137153,0.82071927,0.793650794,0.726190476,0.687991021,0.55007215,0.632996633,0.763135228,0.614148274,0.784984985,0.759567901,0.664750958,0.598504274,0.636590038,0.790540541,0.573737374,0.726984127,0.592031425,0.835016835,0.599415205,0.749565217,0.634259259,0.779803647,0.533333333,0.63,0.735294118,0.43469697,0.627807487,0.739463602,0.617724868,0.678451178,0.66031746,0.641798942,0.544670846,0.635714286,0.770899471,0.587777778,0.570083014,0.726686508,0.683333333,0.747685185,0.704973118,0.647759104,0.638014326,0.742200328,0.714785215,0.581196581,0.685714286,0.645363409,0.72556391,0.667606516,0.623342175,0.740431067,0.773596177,0.774603175,0.484064786,0.821820175,0.69047619,0.802603282,0.765079365,0.674223856,0.780555556,0.541830065,0.640056022,0.624561404,0.809368192,0.772554606,0.597853535,0.805462653,0.68749329,0.808832426,0.613310709,0.612535613,0.751322751,0.8,0.68,0.62037962,0.728793309,0.763888889,0.611807732,0.698964803,0.665934066,0.579411765
F1-score,0.620540954,0.005631824,0.599647266,0.682568554,0.718253968,0.562746957,0.663129973,0.756228369,0.585714286,0.511904762,0.68088046,0.716704975,0.475095785,0.597979798,0.620787128,0.614565826,0.594157808,0.619813309,0.610526316,0.647467726,0.749732223,0.740461216,0.694885362,0.657309942,0.511055416,0.599337268,0.536109774,0.530526154,0.616230985,0.727313381,0.636151291,0.598653199,0.59869281,0.599514268,0.484331689,0.631161236,0.617682198,0.732724902,0.580403337,0.671394799,0.558528428,0.554360812,0.433544484,0.544600062,0.608994709,0.43469697,0.603185703,0.626466028,0.590210065,0.648989899,0.606557377,0.598557502,0.54204867,0.589994972,0.723123123,0.579202279,0.571367521,0.54183359,0.602310122,0.574266574,0.677360067,0.640471276,0.5424734,0.62380461,0.726823578,0.561972307,0.669637552,0.659860829,0.573782468,0.634460548,0.617490696,0.690757576,0.717738428,0.61258875,0.47581957,0.745475681,0.509644575,0.804633205,0.667724868,0.622311828,0.703081232,0.480827068,0.617660476,0.593032015,0.669318669,0.597638218,0.579885057,0.767195767,0.627865961,0.77088127,0.589490969,0.552380952,0.664397968,0.704473304,0.631669836,0.589698846,0.701093341,0.689063761,0.552754435,0.658030473,0.641679511,0.592460882
