,mean,var,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30,trial_31,trial_32,trial_33,trial_34,trial_35,trial_36,trial_37,trial_38,trial_39,trial_40,trial_41,trial_42,trial_43,trial_44,trial_45,trial_46,trial_47,trial_48,trial_49,trial_50,trial_51,trial_52,trial_53,trial_54,trial_55,trial_56,trial_57,trial_58,trial_59,trial_60,trial_61,trial_62,trial_63,trial_64,trial_65,trial_66,trial_67,trial_68,trial_69,trial_70,trial_71,trial_72,trial_73,trial_74,trial_75,trial_76,trial_77,trial_78,trial_79,trial_80,trial_81,trial_82,trial_83,trial_84,trial_85,trial_86,trial_87,trial_88,trial_89,trial_90,trial_91,trial_92,trial_93,trial_94,trial_95,trial_96,trial_97,trial_98,trial_99,trial_100
R2,0.3952256085632949,0.010282993134689387,0.43694992483003936,0.40115050583905176,0.45177568628367737,0.4564408066194703,0.351205961516466,0.49858991586588386,0.156875507937274,0.4931887321654266,0.4150314035943443,0.3814904212558694,0.42977151518964096,0.23063075412295853,0.40236941534136783,0.3497088778356269,0.28265999040217793,0.41746266477208827,0.35040850156803893,0.3888042927338806,0.3458734200577055,0.22505665425158872,0.39562318599732016,0.4218412327484652,0.1773289149902425,0.30099777746857337,0.27149626526519854,0.39615474891214086,0.3121573218868342,0.36599644774834783,0.5243824425078984,0.15823691801918804,0.3399209808844451,0.3146005469930615,0.3432333547745928,0.326410129029329,-0.008377864763255305,0.5007584926157094,0.4229047555247283,0.5060758634883535,0.38812199103197786,0.39997956437132487,0.3625039046822188,0.2855796820217943,0.41731252509678385,0.3949095826090996,0.5118269986068493,0.28590285267609183,0.43485098659153554,0.4757721754404455,0.5487979272044281,0.40700993008153163,0.12071693842106346,0.5358520455705966,0.5061407501160633,0.2940826444364353,0.3001453693849868,0.43259976782123244,0.43716049530380297,0.40008258007451725,0.3173926083353029,0.37982710287887045,0.3316678475104923,0.4283338457768522,0.3803989719011399,0.43723594602303806,0.5139031879041827,0.47959239875366877,0.43815744160123393,0.4260546025396995,0.490075557892251,0.438568620174675,0.522761822029346,0.4124867407834395,0.19152447045382093,0.482456497544273,0.47633124627738654,0.516880243836997,0.47447327626129543,0.4352830042634471,0.48310220578540164,0.45480080233827436,0.36317960785435977,0.33636418754087083,0.4209725000903187,0.5176993938929177,0.3558819726683624,0.4660599817782912,0.51520020852896,0.5678356258203417,0.4449127958152107,0.4616684180539232,0.38525218035614284,0.4819589864413619,0.31680684912998003,0.3468510267777606,0.25613549223267673,0.5120127477889683,0.45098027503721505,0.40511265508257543,0.45678269905951985,0.47504963369809516
MAE,0.2365722532551427,0.0005630289711304542,0.24494307049792063,0.22455487346452233,0.24058723053907632,0.22538298929675007,0.23188455303172525,0.2163970516146002,0.3001393915818645,0.21105039923965221,0.2501540186513095,0.21796653787901435,0.24519131157538723,0.2507388598441768,0.20119621724940748,0.25427084951070067,0.2840212153312855,0.23676930645833258,0.24496715153437734,0.2608625345372581,0.2625358201334628,0.277397631536202,0.22407223107774135,0.23610123142939735,0.2922701170842313,0.27001269971913566,0.27634252810807997,0.24588425496289276,0.2587668518465835,0.2469344915275027,0.21312104696131512,0.26475964716225225,0.27417270784461595,0.22575178275735214,0.23227093229069062,0.24767087797495177,0.23314204848632922,0.2174535544012311,0.23238000820589877,0.2205074674214789,0.22107504636044858,0.23283073468891088,0.2614367647858741,0.2728068436869111,0.23982461325113139,0.23521505374963664,0.19977032946710777,0.2830226814247273,0.21911784761841074,0.21023065510671632,0.2031655714822524,0.21920069919423332,0.2758532553420256,0.20652571329279784,0.22501609973679662,0.2785123913456614,0.24338929137052626,0.22486890345750923,0.24227920314108198,0.24043898458673443,0.2568889539610102,0.24763311774075597,0.2816128704500284,0.24000070739126222,0.2323715554320205,0.2326887287535711,0.22320250881507386,0.21287037558773486,0.2102688141454385,0.24307263742007343,0.2170316808097853,0.24205594780627693,0.21228394041235216,0.24222427418094786,0.2610013028372623,0.20738407080084786,0.2374145526954375,0.19706941062382488,0.22235103836114825,0.23883621730533325,0.2275955717883142,0.2335692721486755,0.21933018578292296,0.26123450576625873,0.21166234857849076,0.19413018089937598,0.23585935918339143,0.2088462768412044,0.22488591015313694,0.20425177369876882,0.22843535254679792,0.2104574772062605,0.22238134959522332,0.2073992285092739,0.249428085916161,0.27479198942808675,0.2505766955585394,0.20706315066553427,0.23420487664694045,0.24470348941795098,0.21007653003529397,0.21087283375928106
MSE,0.08712846658676308,0.0002027684287230458,0.08627014252828373,0.07761302222726832,0.08426370867360225,0.07944657015424615,0.08646082965675682,0.0696241517791389,0.12468263427340018,0.07418538826115435,0.09366893825229322,0.07025477616396279,0.09141449282461647,0.09989309127723316,0.0694560770870282,0.10931990717849238,0.11705513065152807,0.09081181317311418,0.08950770689649791,0.10409015377703311,0.09569857196809742,0.10540346301229067,0.08725153063734052,0.08871183982110355,0.12942662168593982,0.10490274234399276,0.10826300558085827,0.09290937696174834,0.09487181872749825,0.0998972760256821,0.0772991675135222,0.1008178932852245,0.10145340832889989,0.08994449250916603,0.0941523162854458,0.1118201411523947,0.0866381190997321,0.07093930831111546,0.0793654501574882,0.0822247971416021,0.0766550985762848,0.08527446793862896,0.1106173620119508,0.10575503274434618,0.08844718291638928,0.08990981997254685,0.064409918935429,0.11827547494358961,0.0792520672266929,0.06896054787087064,0.06609651870177022,0.07580989795037703,0.102130271994298,0.07346215257789929,0.07667737361408744,0.10285260800242627,0.08956335296267946,0.08481081604662115,0.08644619304081748,0.08727451633077493,0.10433774059618503,0.09530469695324963,0.1087072833034505,0.09413224579315205,0.07773103911521019,0.09060264216909485,0.07282549937505665,0.07331878687552722,0.0737141344003921,0.09146342419332694,0.07305948220807461,0.08624722303597969,0.07255635313962404,0.09272366136497802,0.09543895133549272,0.07058758754556564,0.08803707095113911,0.06275661018127046,0.07922674795972896,0.08017320513975396,0.08316096617132403,0.0879205431985104,0.08277612112871395,0.09005777552891295,0.0687085451090901,0.06304697246385357,0.08470260789420192,0.07378684621756684,0.07357218646029769,0.06715052922018346,0.08388326046471344,0.08079012126012945,0.08306418380214245,0.06343183160529424,0.09179777370487295,0.10080485470766815,0.09631172954312049,0.07582735738162383,0.08504720539873946,0.09975618827550309,0.07236106882947503,0.06925305493084748
RMSE,0.29421967673905436,0.0005689377841711572,0.29371779402733456,0.27859113809895014,0.2902821191076058,0.28186267960524,0.2940422242752847,0.26386388873648264,0.3531042824342409,0.2723699474265734,0.3060538159414014,0.26505617548731586,0.3023482972080651,0.31605868328086345,0.26354520881061033,0.3306356108747096,0.3421332060053921,0.3013499845248282,0.29917838641268507,0.3226300571506522,0.3093518578707705,0.3246589949659345,0.2953837006968064,0.2978453286877327,0.3597591161957398,0.3238869283314669,0.3290334414324147,0.30481039510119784,0.30801269247792085,0.31606530341953404,0.2780272783622539,0.31751833535281787,0.31851751651816557,0.2999074732466099,0.3068424942628478,0.33439518709514154,0.2943435392525749,0.26634434161647863,0.28171874299997895,0.2867486654574038,0.27686657179277674,0.29201792400232723,0.33259188506629384,0.3251999888443205,0.29740071102199683,0.29984966228519727,0.253791093097116,0.34391201628263823,0.28151743680755,0.26260340414943334,0.25709243221411676,0.2753359728592997,0.31957827209354833,0.2710390240867527,0.27690679589726114,0.32070642027004426,0.29927137010191845,0.29122296620737376,0.29401733459239693,0.2954226063299404,0.3230135300512736,0.308714588176927,0.32970787570734567,0.3068097876423633,0.278802867838927,0.3010027278432786,0.2698620006133814,0.27077442064480023,0.27150347032845107,0.3024292052585645,0.27029517607252,0.2936787752561967,0.26936286518305386,0.3045056015330063,0.30893195259715805,0.26568324664074255,0.2967104159801929,0.25051269465093073,0.2814724639458165,0.283148733247659,0.2883764313728222,0.29651398482788366,0.28770839599968917,0.30009627709938846,0.26212314874709197,0.25109156191288784,0.29103712459788,0.27163734319413235,0.27124193344742564,0.25913419153053396,0.28962607007089924,0.2842360308970864,0.2882085769059319,0.25185676803551305,0.30298147419417076,0.3174978026816377,0.3103413113704337,0.2753676767190075,0.2916285400963689,0.31584203057146004,0.26900012793579675,0.26315975173047923
