,mean,var,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30,trial_31,trial_32,trial_33,trial_34,trial_35,trial_36,trial_37,trial_38,trial_39,trial_40,trial_41,trial_42,trial_43,trial_44,trial_45,trial_46,trial_47,trial_48,trial_49,trial_50,trial_51,trial_52,trial_53,trial_54,trial_55,trial_56,trial_57,trial_58,trial_59,trial_60,trial_61,trial_62,trial_63,trial_64,trial_65,trial_66,trial_67,trial_68,trial_69,trial_70,trial_71,trial_72,trial_73,trial_74,trial_75,trial_76,trial_77,trial_78,trial_79,trial_80,trial_81,trial_82,trial_83,trial_84,trial_85,trial_86,trial_87,trial_88,trial_89,trial_90,trial_91,trial_92,trial_93,trial_94,trial_95,trial_96,trial_97,trial_98,trial_99,trial_100
Accuracy,0.6732727272727268,0.004103547875448704,0.6545454545454545,0.7272727272727273,0.7818181818181819,0.6363636363636364,0.7454545454545455,0.7818181818181819,0.7090909090909091,0.6363636363636364,0.6181818181818182,0.7454545454545455,0.6181818181818182,0.6363636363636364,0.6727272727272727,0.6909090909090909,0.6181818181818182,0.7090909090909091,0.6,0.6727272727272727,0.7636363636363637,0.6363636363636364,0.7454545454545455,0.6727272727272727,0.6,0.7090909090909091,0.6545454545454545,0.5636363636363636,0.6363636363636364,0.6727272727272727,0.7272727272727273,0.5454545454545454,0.6727272727272727,0.6363636363636364,0.5636363636363636,0.6181818181818182,0.6727272727272727,0.7818181818181819,0.6909090909090909,0.6727272727272727,0.6727272727272727,0.7272727272727273,0.5636363636363636,0.6181818181818182,0.6727272727272727,0.6181818181818182,0.6909090909090909,0.6363636363636364,0.5818181818181818,0.6545454545454545,0.7454545454545455,0.7090909090909091,0.6545454545454545,0.6,0.7454545454545455,0.6363636363636364,0.6363636363636364,0.6909090909090909,0.7272727272727273,0.6545454545454545,0.6363636363636364,0.6727272727272727,0.5818181818181818,0.6363636363636364,0.6545454545454545,0.5454545454545454,0.7090909090909091,0.7636363636363637,0.6363636363636364,0.6181818181818182,0.6909090909090909,0.7090909090909091,0.7454545454545455,0.6181818181818182,0.6545454545454545,0.7272727272727273,0.4909090909090909,0.8,0.7454545454545455,0.6363636363636364,0.6363636363636364,0.5818181818181818,0.7090909090909091,0.7272727272727273,0.7454545454545455,0.6727272727272727,0.6545454545454545,0.7818181818181819,0.7272727272727273,0.8181818181818182,0.7272727272727273,0.6,0.6545454545454545,0.8,0.6181818181818182,0.6727272727272727,0.7454545454545455,0.6727272727272727,0.7636363636363637,0.6727272727272727,0.7090909090909091,0.6363636363636364
Recall,0.6320690594424567,0.005389993279994573,0.6493589743589744,0.6467893872612566,0.7465886939571149,0.5899470899470899,0.6804511278195489,0.741991341991342,0.6529014844804318,0.5208465608465608,0.5699055330634278,0.6900252525252526,0.5248564072093483,0.5848214285714285,0.5759803921568628,0.6558069381598793,0.5496392496392496,0.68,0.533968253968254,0.668859649122807,0.7446741854636593,0.6368253968253968,0.7445054945054945,0.6541666666666667,0.5517676767676768,0.6621266427718041,0.6477272727272727,0.5151515151515151,0.6132154882154882,0.6484848484848484,0.6570767195767195,0.5541324575807334,0.6317972350230415,0.5535714285714286,0.48613756613756615,0.5902097902097903,0.788235294117647,0.7413003663003663,0.6171212121212121,0.6547049441786283,0.6441102756892231,0.6639784946236559,0.5284391534391534,0.5682860998650473,0.6399460188933873,0.5903030303030303,0.6728395061728395,0.6056998556998557,0.6212836438923396,0.5952380952380952,0.655982905982906,0.6499442586399108,0.5271464646464646,0.5594672299477791,0.7032216905901115,0.5873015873015873,0.5802469135802469,0.6159844054580897,0.7266170836150551,0.5841269841269842,0.6095816464237517,0.648953301127214,0.5100000000000001,0.5873775347459559,0.7196969696969697,0.5404040404040403,0.6926328502415459,0.7395459976105138,0.5627289377289377,0.5604938271604938,0.6476190476190476,0.6531746031746032,0.7166991552956464,0.619281045751634,0.526984126984127,0.6502645502645503,0.4322793148880106,0.8048611111111111,0.7168253968253967,0.611111111111111,0.6105931105931106,0.5509324009324009,0.6453634085213033,0.667417925024416,0.6,0.6345679012345679,0.5716666666666667,0.775062656641604,0.7251461988304092,0.7853535353535354,0.6623563218390804,0.561026936026936,0.6332417582417583,0.7428774928774929,0.5682234432234433,0.6372126436781609,0.6861559139784946,0.6446693657219972,0.7538793103448276,0.6103801169590642,0.6893348197696024,0.6250957854406131
Precision,0.7035564536337463,0.005650013961842019,0.774294670846395,0.7999999999999999,0.7486772486772487,0.6133437040878057,0.7528013582342954,0.8285714285714286,0.7320346320346319,0.7533834586466165,0.720967741935484,0.7343260188087775,0.7347126436781609,0.6527777777777778,0.7427937915742794,0.7619047619047619,0.6392371995820272,0.7136015325670497,0.6444444444444445,0.6951417004048585,0.7976190476190476,0.7222222222222222,0.7693972693972694,0.6507936507936508,0.6612745098039216,0.7245303274288782,0.7415547415547415,0.6193834900731452,0.7532917532917534,0.7142857142857143,0.6645502645502646,0.5969174503657263,0.6636937941285767,0.7680097680097681,0.5895800106326422,0.7709401709401709,0.609903381642512,0.8388888888888889,0.6388888888888888,0.7530864197530863,0.7127214170692433,0.8015873015873015,0.6994708994708994,0.6574074074074073,0.7571428571428571,0.5811640211640211,0.6506944444444445,0.7388888888888889,0.7032163742690059,0.6421052631578946,0.8187403993855606,0.687225193107546,0.5924242424242424,0.5902430902430903,0.7436143039591315,0.5873015873015873,0.5736215538847118,0.7787878787878788,0.7579365079365079,0.7634237107921318,0.6722222222222222,0.6584779505672,0.7098765432098766,0.7414141414141414,0.6798201798201798,0.5683760683760684,0.6792717086834733,0.7301587301587301,0.7405405405405405,0.6053763440860215,0.6241883116883117,0.7335470085470086,0.7683202313183338,0.7044817927170869,0.5222048066875653,0.7999999999999999,0.5363389997536339,0.848343685300207,0.8238095238095239,0.6683834824252282,0.6790123456790124,0.6379928315412187,0.6696428571428571,0.7023809523809524,0.82328190743338,0.7635897435897436,0.5940656565656566,0.795038295038295,0.8035914702581369,0.8271604938271605,0.6909722222222222,0.6488569909622541,0.6783882783882783,0.8356374807987711,0.6574074074074073,0.7023809523809524,0.7260073260073261,0.6794117647058823,0.7962037962037961,0.6283333333333333,0.6840120663650077,0.5875816993464053
F1-score,0.6373318113657325,0.005706812454062713,0.6278659611992946,0.6845173041894353,0.7473655473655474,0.5987829935198357,0.7043848212447678,0.7582972582972584,0.6685937970490817,0.5111111111111111,0.6007326007326007,0.6968873797396716,0.49603174603174605,0.5716450216450216,0.6207871276364427,0.6726249586229726,0.548587570621469,0.692007797270955,0.550021017234132,0.6796172248803828,0.7513388334057027,0.667684935609464,0.7556350626118068,0.6515663736759071,0.5702426564495531,0.6653703223576182,0.6439238777948456,0.5263814616755793,0.639032006245121,0.6688984536904193,0.6545698924731184,0.5726632807627193,0.6221748063853328,0.5669729880256197,0.4961685823754789,0.606883328539929,0.6345796059841476,0.7741222192441705,0.6240623498192607,0.6732426303854875,0.6578136271230901,0.6750385208012327,0.4854497354497354,0.5735817805383022,0.6722553402881272,0.5850797993616051,0.6485613943241061,0.6246498599439776,0.6224831388765816,0.6108315211763488,0.6795749536442733,0.658371854134566,0.5294612794612795,0.5597478015596482,0.7163654882953128,0.585558667911609,0.5757575757575757,0.6399229781771502,0.7292146034667893,0.6044309491677914,0.623773429696222,0.6454415954415955,0.5174656261612783,0.5726189162344112,0.6771894771894772,0.5477879094900372,0.6742653701046816,0.7327249022164276,0.5918710918710919,0.5398755246779562,0.6256613756613757,0.6696296296296297,0.7365900383141764,0.6012555899552804,0.5146709209209209,0.6861346915676289,0.4119075369075369,0.8179765130984644,0.7428571428571429,0.6314689810350369,0.6321561038542169,0.5597484276729561,0.653968253968254,0.6748538011695907,0.6214682085822002,0.6686233403214535,0.5691570881226053,0.7821740439626618,0.7434486838213547,0.8011475908192734,0.6734629923418923,0.5652003910068426,0.6391299689274615,0.7460735537996294,0.5883333333333334,0.6521455666192509,0.7018460466736328,0.6574074074074073,0.7478991596638656,0.602172652006539,0.6608465608465609,0.6012259232598215
