,mean,var,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30,trial_31,trial_32,trial_33,trial_34,trial_35,trial_36,trial_37,trial_38,trial_39,trial_40,trial_41,trial_42,trial_43,trial_44,trial_45,trial_46,trial_47,trial_48,trial_49,trial_50,trial_51,trial_52,trial_53,trial_54,trial_55,trial_56,trial_57,trial_58,trial_59,trial_60,trial_61,trial_62,trial_63,trial_64,trial_65,trial_66,trial_67,trial_68,trial_69,trial_70,trial_71,trial_72,trial_73,trial_74,trial_75,trial_76,trial_77,trial_78,trial_79,trial_80,trial_81,trial_82,trial_83,trial_84,trial_85,trial_86,trial_87,trial_88,trial_89,trial_90,trial_91,trial_92,trial_93,trial_94,trial_95,trial_96,trial_97,trial_98,trial_99,trial_100
Accuracy,0.968428571,0.000401134,0.971428571,0.942857143,0.971428571,0.942857143,0.957142857,0.957142857,0.985714286,0.957142857,0.942857143,0.971428571,0.985714286,1,0.971428571,0.985714286,0.985714286,1,0.971428571,0.928571429,0.957142857,0.985714286,0.971428571,0.985714286,0.971428571,0.914285714,0.985714286,0.985714286,0.971428571,0.985714286,0.971428571,0.957142857,0.985714286,0.957142857,0.971428571,0.942857143,0.928571429,1,0.985714286,0.957142857,0.957142857,0.971428571,1,0.971428571,0.971428571,0.928571429,0.971428571,0.957142857,0.971428571,0.971428571,0.957142857,0.942857143,0.971428571,0.971428571,0.928571429,0.971428571,0.971428571,0.928571429,0.957142857,0.971428571,0.957142857,0.985714286,0.971428571,0.957142857,0.971428571,0.971428571,0.957142857,0.985714286,0.971428571,1,0.957142857,0.971428571,0.985714286,0.985714286,0.928571429,0.957142857,0.957142857,0.971428571,0.928571429,0.914285714,0.985714286,0.985714286,0.985714286,0.985714286,0.971428571,0.985714286,0.985714286,0.971428571,0.971428571,0.971428571,0.985714286,1,0.971428571,0.942857143,0.971428571,0.957142857,0.971428571,0.971428571,1,1,1,0.942857143
Recall,0.853308517,0.007989854,0.916666667,0.75,0.866666667,0.75,0.8125,0.8,0.928571429,0.8125,0.692307692,0.875,0.928571429,1,0.913043478,0.9375,0.923076923,1,0.875,0.705882353,0.8,0.944444444,0.846153846,0.9375,0.875,0.666666667,0.916666667,0.928571429,0.9,0.928571429,0.894736842,0.8125,0.944444444,0.8,0.866666667,0.789473684,0.642857143,1,0.944444444,0.785714286,0.727272727,0.846153846,1,0.866666667,0.818181818,0.6875,0.866666667,0.75,0.866666667,0.875,0.8,0.714285714,0.714285714,0.857142857,0.761904762,0.857142857,0.866666667,0.6875,0.785714286,0.833333333,0.842105263,0.928571429,0.882352941,0.769230769,0.882352941,0.866666667,0.8125,0.909090909,0.866666667,1,0.769230769,0.846153846,0.875,0.916666667,0.6875,0.769230769,0.8125,0.888888889,0.6875,0.647058824,0.933333333,0.928571429,0.916666667,0.941176471,0.857142857,0.944444444,0.928571429,0.888888889,0.875,0.833333333,0.941176471,1,0.833333333,0.75,0.882352941,0.857142857,0.8,0.866666667,1,1,1,0.8
Precision,0.998397436,0.000127321,0.916666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.923076923,1,1,1,1,1,1
F1-score,0.917561942,0.002846974,0.916666667,0.857142857,0.928571429,0.857142857,0.896551724,0.888888889,0.962962963,0.896551724,0.818181818,0.933333333,0.962962963,1,0.954545455,0.967741935,0.96,1,0.933333333,0.827586207,0.888888889,0.971428571,0.916666667,0.967741935,0.933333333,0.8,0.956521739,0.962962963,0.947368421,0.962962963,0.944444444,0.896551724,0.971428571,0.888888889,0.928571429,0.882352941,0.782608696,1,0.971428571,0.88,0.842105263,0.916666667,1,0.928571429,0.9,0.814814815,0.928571429,0.857142857,0.928571429,0.933333333,0.888888889,0.833333333,0.833333333,0.923076923,0.864864865,0.923076923,0.928571429,0.814814815,0.88,0.909090909,0.914285714,0.962962963,0.9375,0.869565217,0.9375,0.928571429,0.896551724,0.952380952,0.928571429,1,0.869565217,0.916666667,0.933333333,0.956521739,0.814814815,0.869565217,0.896551724,0.941176471,0.814814815,0.785714286,0.965517241,0.962962963,0.956521739,0.96969697,0.923076923,0.971428571,0.962962963,0.941176471,0.933333333,0.909090909,0.96969697,1,0.909090909,0.857142857,0.9375,0.888888889,0.888888889,0.928571429,1,1,1,0.888888889
