,mean,var,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30,trial_31,trial_32,trial_33,trial_34,trial_35,trial_36,trial_37,trial_38,trial_39,trial_40,trial_41,trial_42,trial_43,trial_44,trial_45,trial_46,trial_47,trial_48,trial_49,trial_50,trial_51,trial_52,trial_53,trial_54,trial_55,trial_56,trial_57,trial_58,trial_59,trial_60,trial_61,trial_62,trial_63,trial_64,trial_65,trial_66,trial_67,trial_68,trial_69,trial_70,trial_71,trial_72,trial_73,trial_74,trial_75,trial_76,trial_77,trial_78,trial_79,trial_80,trial_81,trial_82,trial_83,trial_84,trial_85,trial_86,trial_87,trial_88,trial_89,trial_90,trial_91,trial_92,trial_93,trial_94,trial_95,trial_96,trial_97,trial_98,trial_99,trial_100
Accuracy,0.937285714,0.000642733,0.971428571,0.9,0.928571429,0.871428571,0.971428571,0.957142857,0.942857143,0.971428571,0.871428571,0.942857143,0.942857143,0.928571429,0.971428571,0.957142857,0.942857143,0.971428571,0.957142857,0.928571429,0.942857143,0.942857143,0.914285714,0.957142857,0.928571429,0.928571429,0.942857143,0.9,0.942857143,0.957142857,0.942857143,0.942857143,0.957142857,0.942857143,0.942857143,0.928571429,0.914285714,0.957142857,0.957142857,0.942857143,0.928571429,0.914285714,0.928571429,0.928571429,0.871428571,0.928571429,0.914285714,0.957142857,0.928571429,0.971428571,0.942857143,0.928571429,0.928571429,0.957142857,0.957142857,0.871428571,0.928571429,0.9,0.928571429,0.928571429,0.971428571,0.957142857,0.942857143,0.928571429,0.957142857,0.942857143,0.942857143,0.928571429,0.928571429,0.957142857,0.914285714,0.9,0.885714286,0.942857143,0.9,0.942857143,0.928571429,0.971428571,0.957142857,0.928571429,0.985714286,0.914285714,0.957142857,0.971428571,0.928571429,0.957142857,0.971428571,0.914285714,0.942857143,0.9,0.971428571,0.957142857,0.9,0.9,0.957142857,0.957142857,0.928571429,0.957142857,0.957142857,0.942857143,0.9,0.971428571
Recall,0.907961576,0.004052448,1,0.875,0.933333333,0.8125,0.875,0.933333333,0.928571429,0.875,0.769230769,0.875,1,1,0.956521739,0.9375,0.923076923,1,0.9375,0.823529412,0.866666667,0.833333333,0.923076923,0.875,0.8125,0.777777778,1,0.928571429,0.85,1,0.894736842,0.875,0.888888889,0.933333333,0.866666667,0.789473684,0.857142857,1,0.944444444,0.857142857,0.818181818,0.923076923,1,0.933333333,0.818181818,0.875,0.933333333,0.833333333,0.933333333,0.9375,0.8,0.857142857,1,1,0.904761905,0.857142857,0.866666667,0.875,0.857142857,0.916666667,0.947368421,0.928571429,0.882352941,0.846153846,1,0.933333333,0.875,0.909090909,0.866666667,1,0.846153846,1,0.875,1,0.8125,0.846153846,0.875,0.888888889,0.875,0.882352941,0.933333333,0.928571429,1,0.882352941,0.928571429,0.944444444,0.928571429,0.888888889,0.875,0.916666667,1,1,0.916666667,0.8125,0.882352941,1,0.8,1,1,1,1,0.9
Precision,0.818370965,0.011096472,0.857142857,0.736842105,0.777777778,0.684210526,1,0.875,0.8125,1,0.625,0.875,0.777777778,0.642857143,0.956521739,0.882352941,0.8,0.866666667,0.882352941,0.875,0.866666667,0.9375,0.705882353,0.933333333,0.866666667,0.933333333,0.75,0.684210526,0.944444444,0.823529412,0.894736842,0.875,0.941176471,0.823529412,0.866666667,0.9375,0.75,0.842105263,0.894736842,0.857142857,0.75,0.705882353,0.705882353,0.777777778,0.5625,0.823529412,0.736842105,0.909090909,0.777777778,0.9375,0.923076923,0.8,0.583333333,0.823529412,0.95,0.631578947,0.8125,0.736842105,0.8,0.733333333,0.947368421,0.866666667,0.882352941,0.785714286,0.85,0.823529412,0.875,0.714285714,0.8125,0.8,0.733333333,0.65,0.5,0.75,0.764705882,0.846153846,0.823529412,1,0.933333333,0.833333333,1,0.722222222,0.8,1,0.764705882,0.894736842,0.928571429,0.8,0.875,0.647058824,0.894736842,0.785714286,0.647058824,0.764705882,0.9375,0.823529412,0.727272727,0.833333333,0.823529412,0.789473684,0.65,1
F1-score,0.855808508,0.004129009,0.923076923,0.8,0.848484848,0.742857143,0.933333333,0.903225806,0.866666667,0.933333333,0.689655172,0.875,0.875,0.782608696,0.956521739,0.909090909,0.857142857,0.928571429,0.909090909,0.848484848,0.866666667,0.882352941,0.8,0.903225806,0.838709677,0.848484848,0.857142857,0.787878788,0.894736842,0.903225806,0.894736842,0.875,0.914285714,0.875,0.866666667,0.857142857,0.8,0.914285714,0.918918919,0.857142857,0.782608696,0.8,0.827586207,0.848484848,0.666666667,0.848484848,0.823529412,0.869565217,0.848484848,0.9375,0.857142857,0.827586207,0.736842105,0.903225806,0.926829268,0.727272727,0.838709677,0.8,0.827586207,0.814814815,0.947368421,0.896551724,0.882352941,0.814814815,0.918918919,0.875,0.875,0.8,0.838709677,0.888888889,0.785714286,0.787878788,0.636363636,0.857142857,0.787878788,0.846153846,0.848484848,0.941176471,0.903225806,0.857142857,0.965517241,0.8125,0.888888889,0.9375,0.838709677,0.918918919,0.928571429,0.842105263,0.875,0.75862069,0.944444444,0.88,0.75862069,0.787878788,0.909090909,0.903225806,0.761904762,0.909090909,0.903225806,0.882352941,0.787878788,0.947368421
